iter	MultiClass
0	1.049365246
1	1.010028595
2	0.979266896
3	0.9348910993
4	0.9049065513
5	0.8750025201
6	0.843122224
7	0.8169703893
8	0.7975756666
9	0.7739799566
10	0.7537587489
11	0.7345476468
12	0.7207337571
13	0.7106769793
14	0.6999143854
15	0.6880555968
16	0.6760113365
17	0.6657621713
18	0.6544372455
19	0.644686622
20	0.6352970731
21	0.6267383396
22	0.6149647014
23	0.6080831517
24	0.6002757549
25	0.5912335957
26	0.5856661074
27	0.5803463896
28	0.5749173434
29	0.5687103725
30	0.5622581608
31	0.5561994865
32	0.5507602032
33	0.5449068336
34	0.5397995502
35	0.5360625662
36	0.5322998907
37	0.5295483276
38	0.526649155
39	0.521925087
40	0.5187062027
41	0.515527843
42	0.5124599761
43	0.5111424997
44	0.5059926347
45	0.5037249094
46	0.5007885244
47	0.4968768857
48	0.4930706805
49	0.4875987288
50	0.48460765
51	0.4804859113
52	0.4770834608
53	0.4730695326
54	0.4688501974
55	0.4672465746
56	0.4654953566
57	0.4615023809
58	0.4593962444
59	0.457266797
60	0.4552664665
61	0.4537101251
62	0.452137912
63	0.4491585291
64	0.4467107525
65	0.4439885423
66	0.4425447244
67	0.4403886224
68	0.4367681955
69	0.4341192565
70	0.4323422891
71	0.4292731139
72	0.4274074692
73	0.4247608356
74	0.4240302177
75	0.421241448
76	0.4191289891
77	0.4167610988
78	0.4138956112
79	0.411615496
80	0.4092639074
81	0.4074460226
82	0.4031103621
83	0.4020134007
84	0.3991959738
85	0.397403494
86	0.3965434157
87	0.395086572
88	0.3906496743
89	0.3887718737
90	0.3871552826
91	0.3861703366
92	0.3841336635
93	0.3811782415
94	0.3789815406
95	0.3775053561
96	0.3730848601
97	0.3702842245
98	0.3690851347
99	0.3654329029
100	0.3622463401
101	0.3597224021
102	0.3572741101
103	0.3554932168
104	0.3536197569
105	0.3495595374
106	0.3468985231
107	0.3450728016
108	0.3436333492
109	0.3428296799
110	0.3407380657
111	0.3386690306
112	0.3361795768
113	0.3334124912
114	0.3310560174
115	0.3300362771
116	0.3279683352
117	0.325472979
118	0.323746462
119	0.3219728342
120	0.3203690867
121	0.318717247
122	0.3172923798
123	0.3150668216
124	0.3138946761
125	0.3125287157
126	0.3110999723
127	0.3093691442
128	0.3076098484
129	0.3062207029
130	0.3035141231
131	0.3023693464
132	0.3009532337
133	0.3002432204
134	0.2979853386
135	0.2958242919
136	0.2931950267
137	0.2909957224
138	0.2890474404
139	0.2869602072
140	0.2851179976
141	0.2844067566
142	0.282623886
143	0.2805911227
144	0.2797913059
145	0.2785659467
146	0.2762815514
147	0.2746918912
148	0.273649231
149	0.2716801025
150	0.2714114962
151	0.2704220037
152	0.2691972151
153	0.2685920738
154	0.2680697077
155	0.2670965914
156	0.2652502439
157	0.264304067
158	0.2628680535
159	0.2616323775
160	0.2604578733
161	0.2594938042
162	0.2587790404
163	0.2574089906
164	0.2557116171
165	0.2547727851
166	0.2526840853
167	0.2508172036
168	0.2499990501
169	0.2494776214
170	0.2490822913
171	0.2482123383
172	0.2466529664
173	0.2451437154
174	0.2441317995
175	0.2429373077
176	0.2417654493
177	0.2405032672
178	0.2397634384
179	0.2393578301
180	0.2380402367
181	0.2372249165
182	0.23658296
183	0.2358506089
184	0.2347029236
185	0.2342901481
186	0.2336230824
187	0.2324703198
188	0.231642878
189	0.2310469924
190	0.2292780494
191	0.2287133146
192	0.2274998575
193	0.2268721482
194	0.2263255384
195	0.2255401719
196	0.2247048319
197	0.2240766358
198	0.2231200807
199	0.2223997464
200	0.2220337176
201	0.2211538424
202	0.2205687933
203	0.2204288536
204	0.2200241327
205	0.2196527822
206	0.2191633495
207	0.2190569501
208	0.2178669162
209	0.2174819993
210	0.2159508388
211	0.2156548365
212	0.2145651815
213	0.213929437
214	0.2135015629
215	0.2124692143
216	0.2111081938
217	0.2104112136
218	0.2097973308
219	0.2091146312
220	0.2081628785
221	0.2075644668
222	0.2070556151
223	0.2063955181
224	0.2058825612
225	0.2047976491
226	0.2041478097
227	0.2031400503
228	0.2026680747
229	0.2017125086
230	0.2013735683
231	0.2006489405
232	0.1998791985
233	0.1993274799
234	0.1982411043
235	0.1976847182
236	0.1973939563
237	0.1967461475
238	0.1960982235
239	0.1947686879
240	0.1940059222
241	0.193377152
242	0.1929093745
243	0.1925985814
244	0.1919509916
245	0.1913626904
246	0.190642911
247	0.190219294
248	0.1895779919
249	0.1893456341
250	0.1885228916
251	0.1878190138
252	0.1875445173
253	0.1866034821
254	0.1861261975
255	0.1855194563
256	0.1851653616
257	0.1849413818
258	0.1844800704
259	0.1834994289
260	0.1832318541
261	0.1829743797
262	0.1826636172
263	0.1821397532
264	0.181542012
265	0.1811672515
266	0.1808956832
267	0.180439618
268	0.1795502871
269	0.1792392882
270	0.1782717837
271	0.1782012035
272	0.1779253124
273	0.17758132
274	0.1767780797
275	0.1764190791
276	0.1757745829
277	0.1751225028
278	0.1746989191
279	0.1739105865
280	0.1737487541
281	0.1729366674
282	0.172370441
283	0.1721884903
284	0.1717323101
285	0.1710514272
286	0.1705472205
287	0.1703098225
288	0.1701321068
289	0.1695230876
290	0.1693347548
291	0.168729321
292	0.1685411325
293	0.1679658861
294	0.1671860291
295	0.1668496107
296	0.1664972399
297	0.166103884
298	0.1655006225
299	0.1653681383
300	0.1648828812
301	0.1641391117
302	0.1634414839
303	0.1629891536
304	0.16285282
305	0.1625634638
306	0.1622141826
307	0.1618523344
308	0.161534676
309	0.1611037791
310	0.1608672883
311	0.1601086071
312	0.1596109554
313	0.1590505837
314	0.1588061172
315	0.1584124207
316	0.1581064121
317	0.1579255698
318	0.1573842365
319	0.1568939696
320	0.1563312831
321	0.1560147676
322	0.1558334649
323	0.1557049306
324	0.1553846683
325	0.1551521149
326	0.1549045529
327	0.1547271737
328	0.1543014724
329	0.1540972069
330	0.1539236516
331	0.15368618
332	0.1532684862
333	0.1530163588
334	0.1528306305
335	0.1524047264
336	0.151768602
337	0.1515647504
338	0.1510940929
339	0.1507539592
340	0.1501513843
341	0.1497412929
342	0.1496523969
343	0.1488786354
344	0.1485432239
345	0.1481192934
346	0.1477881607
347	0.1476532999
348	0.1471610898
349	0.146674825
350	0.1460840377
351	0.1458003031
352	0.1457243649
353	0.1452555426
354	0.144724591
355	0.1441533178
356	0.1438492617
357	0.1437053001
358	0.1435822431
359	0.1434880831
360	0.1429397249
361	0.1423324167
362	0.1420526705
363	0.1418970344
364	0.1409791522
365	0.1408649928
366	0.1406304804
367	0.1402543695
368	0.139784719
369	0.1394735032
370	0.1389872843
371	0.1388442456
372	0.1384012652
373	0.1381043329
374	0.1374632076
375	0.1370504691
376	0.1366848407
377	0.136074052
378	0.1358656716
379	0.1356273697
380	0.1352101289
381	0.1351288643
382	0.1349093856
383	0.134424842
384	0.1341809203
385	0.1338242697
386	0.1337590207
387	0.1336108133
388	0.133295911
389	0.1330807623
390	0.1329125213
391	0.132818779
392	0.1322849946
393	0.1321548491
394	0.1318516974
395	0.1315637367
396	0.1314707885
397	0.1307498452
398	0.130537922
399	0.1299932065
400	0.1295903427
401	0.1293722733
402	0.1292717907
403	0.1289423535
404	0.1286836614
405	0.1284735772
406	0.1282634667
407	0.1276693209
408	0.1275622059
409	0.1274244731
410	0.1269806636
411	0.1265827568
412	0.126416453
413	0.1261730894
414	0.1259619524
415	0.1257869001
416	0.1255284947
417	0.1254423193
418	0.1250976632
419	0.1246320823
420	0.124426938
421	0.1242729841
422	0.123961325
423	0.1234181503
424	0.1232714288
425	0.1227866038
426	0.1226537622
427	0.1225659386
428	0.1223202031
429	0.1220282753
430	0.1219662843
431	0.1218305808
432	0.1215291683
433	0.1214257601
434	0.1213710362
435	0.1209708889
436	0.1209239121
437	0.1207417824
438	0.1204892718
439	0.1203835556
440	0.1200609726
441	0.119510524
442	0.1192350707
443	0.119126909
444	0.1188523062
445	0.1188101399
446	0.1186951815
447	0.1183973867
448	0.1180880417
449	0.117817324
450	0.1176701751
451	0.117547459
452	0.117340697
453	0.1172625121
454	0.1167368297
455	0.1165495495
456	0.1161856882
457	0.1160257831
458	0.115707956
459	0.1156022044
460	0.1152999214
461	0.114925301
462	0.114732703
463	0.1146795659
464	0.1145430832
465	0.1144440658
466	0.1139321887
467	0.1137304397
468	0.1134392347
469	0.1133551877
470	0.1131335745
471	0.1130255078
472	0.1127734432
473	0.1125146462
474	0.1122134284
475	0.112005607
476	0.1119010827
477	0.1118401716
478	0.1116010409
479	0.1114161992
480	0.1112849401
481	0.1112182609
482	0.111062044
483	0.1108312819
484	0.1106911172
485	0.1105069159
486	0.110252158
487	0.1101670801
488	0.1098839728
489	0.1097980743
490	0.1096992962
491	0.1092794542
492	0.1090321917
493	0.1088900515
494	0.1085464137
495	0.1082236324
496	0.1080335171
497	0.1079630349
498	0.1078147283
499	0.1076241787
500	0.1074600079
501	0.1073858747
502	0.1071614488
503	0.1070604527
504	0.1069979548
505	0.1069607432
506	0.1067679324
507	0.1064422602
508	0.1061847669
509	0.1060377543
510	0.1059598663
511	0.1056524525
512	0.1055257995
513	0.1053931101
514	0.1049302678
515	0.1047758691
516	0.1046884157
517	0.1045321595
518	0.1043259246
519	0.1038967088
520	0.1036363911
521	0.1034928025
522	0.1032910785
523	0.1030768245
524	0.1028759655
525	0.1026107792
526	0.1024070831
527	0.1023439048
528	0.102157928
529	0.1019979318
530	0.1016343186
531	0.1016042388
532	0.1012299132
533	0.1011818103
534	0.1008400563
535	0.1006270751
536	0.1003522362
537	0.1000775144
538	0.09965289064
539	0.09932882592
540	0.09928093859
541	0.09911009517
542	0.09880237488
543	0.09873352469
544	0.09863633901
545	0.09858246281
546	0.09833592578
547	0.09814546434
548	0.09796981046
549	0.09779844268
550	0.0975033575
551	0.09743714694
552	0.09727157546
553	0.09714821628
554	0.09703239897
555	0.09668990771
556	0.0965225918
557	0.09626133333
558	0.09606316659
559	0.09581948254
560	0.09566214924
561	0.09529929334
562	0.09497980701
563	0.09467477085
564	0.09450549441
565	0.09438780404
566	0.09428348017
567	0.0942653266
568	0.09418632502
569	0.0940802873
570	0.09391673015
571	0.09374966084
572	0.09364609932
573	0.09353538743
574	0.09330896279
575	0.09319654417
576	0.09307181373
577	0.09302667273
578	0.09273393341
579	0.0925744681
580	0.09234298919
581	0.09230325575
582	0.09211936104
583	0.09199483806
584	0.09192740287
585	0.09182345812
586	0.09169846398
587	0.09161819417
588	0.09129416022
589	0.09110771266
590	0.09102242987
591	0.09080390127
592	0.09071498567
593	0.09054587398
594	0.0903021323
595	0.09002533265
596	0.08998706836
597	0.08979466221
598	0.08938246704
599	0.08932411995
600	0.08921029002
601	0.08911224991
602	0.08899456503
603	0.08892957343
604	0.08887157277
605	0.08864070268
606	0.08857648177
607	0.08842437308
608	0.08830316189
609	0.08822879724
610	0.08796870777
611	0.08792574651
612	0.0876910223
613	0.08760284739
614	0.08748863507
615	0.08742690133
616	0.08738499952
617	0.08731819585
618	0.08730015858
619	0.08726840541
620	0.08701090576
621	0.08700280762
622	0.08671406877
623	0.08668126917
624	0.0866374388
625	0.08640005506
626	0.0862894782
627	0.08609258884
628	0.08606528725
629	0.08560392105
630	0.08526818491
631	0.08520335404
632	0.08500777788
633	0.08485067382
634	0.08470595386
635	0.08453103083
636	0.08451683103
637	0.08433888272
638	0.084233201
639	0.08413904038
640	0.08401054265
641	0.08381007955
642	0.08369518572
643	0.08360510945
644	0.08358326683
645	0.08351255788
646	0.08339382014
647	0.08335210966
648	0.0832607608
649	0.08308774982
650	0.08288231952
651	0.08273967536
652	0.08240914858
653	0.08221250019
654	0.08213759892
655	0.08187052712
656	0.08175236822
657	0.08154984439
658	0.08144575688
659	0.08127530652
660	0.08122774589
661	0.08106647213
662	0.08093358408
663	0.08062149044
664	0.08050521918
665	0.08046732894
666	0.0804318661
667	0.0803450125
668	0.08021150209
669	0.08011820411
670	0.07991729771
671	0.0798081967
672	0.0797770425
673	0.07959570993
674	0.07943743174
675	0.07932031978
676	0.07920840988
677	0.07906647131
678	0.07895710393
679	0.07892943697
680	0.07879184327
681	0.0787425688
682	0.07853049333
683	0.07832953695
684	0.07820506772
685	0.07812681268
686	0.07790134336
687	0.07766999483
688	0.07756485794
689	0.077548624
690	0.07753201781
691	0.07741385316
692	0.07722750806
693	0.07714877445
694	0.07711459089
695	0.07700260472
696	0.07695384422
697	0.07674637151
698	0.07671639921
699	0.07668765086
700	0.07654898343
701	0.07642837384
702	0.07635642661
703	0.07621400103
704	0.07608963486
705	0.07592489399
706	0.07563065584
707	0.07548115952
708	0.07536592026
709	0.07529734367
710	0.07517492903
711	0.07500981571
712	0.07478021827
713	0.0746993453
714	0.07459322284
715	0.07439610139
716	0.0742823367
717	0.0742188591
718	0.07419733485
719	0.07405245122
720	0.07389832068
721	0.07374807835
722	0.07360471685
723	0.07347929198
724	0.07337936287
725	0.07325505494
726	0.07316204102
727	0.07300678566
728	0.07293209595
729	0.07280632106
730	0.07265860051
731	0.07253845395
732	0.07241137314
733	0.07230353119
734	0.07219609752
735	0.07212922067
736	0.0721030481
737	0.07199989967
738	0.07177415626
739	0.07151565747
740	0.07128969161
741	0.07119309859
742	0.07106961759
743	0.07099471307
744	0.07091725208
745	0.07073568338
746	0.07065851823
747	0.0705678341
748	0.07054573649
749	0.07050321254
750	0.07040619751
751	0.0703860404
752	0.07034650798
753	0.07029554725
754	0.07022090561
755	0.07017217263
756	0.06997827247
757	0.06982901981
758	0.06977375932
759	0.06977138724
760	0.06973618063
761	0.06966263849
762	0.06958416996
763	0.06956577072
764	0.06947938371
765	0.06927728626
766	0.06907688702
767	0.06900935027
768	0.06880975693
769	0.06868529845
770	0.06866729922
771	0.06861608737
772	0.0685538895
773	0.0683295535
774	0.06823570793
775	0.06818351362
776	0.06808520987
777	0.06804318222
778	0.06798625045
779	0.06786673399
780	0.06780232836
781	0.06771068224
782	0.06767943632
783	0.0676066719
784	0.06755313287
785	0.06751050299
786	0.0673398691
787	0.06725568002
788	0.06711525916
789	0.06709896324
790	0.06686442041
791	0.06675244677
792	0.06656571996
793	0.06645121283
794	0.06636307708
795	0.06628021197
796	0.06622794758
797	0.06615810174
798	0.0661175286
799	0.06605674534
800	0.06587322778
801	0.06584982181
802	0.06579813657
803	0.06576009061
804	0.06567402276
805	0.06558045059
806	0.06549133243
807	0.06541701599
808	0.06528892258
809	0.06525008109
810	0.06519836091
811	0.06506339664
812	0.06501785815
813	0.0648844624
814	0.06476803224
815	0.06457730265
816	0.06441912827
817	0.06430094289
818	0.06411952582
819	0.06406820617
820	0.06400929109
821	0.06399665356
822	0.06394123605
823	0.06385157485
824	0.06371947265
825	0.06362806578
826	0.06361539281
827	0.06358298833
828	0.06356154691
829	0.06345688077
830	0.06335907055
831	0.06327023941
832	0.06323298874
833	0.06305966445
834	0.06302602963
835	0.06294351785
836	0.06282298973
837	0.06268738358
838	0.06264097725
839	0.06260160567
840	0.06256003472
841	0.0625075657
842	0.06249382279
843	0.06241237704
844	0.06238117519
845	0.06227617274
846	0.06224663094
847	0.06218912928
848	0.0619999564
849	0.06197847179
850	0.06191922127
851	0.0618275132
852	0.06174805112
853	0.06168182751
854	0.06162958463
855	0.06152920642
856	0.06152433936
857	0.06146000713
858	0.06144808824
859	0.06138939373
860	0.06121787799
861	0.06119400004
862	0.06114895214
863	0.0610410825
864	0.06094500298
865	0.06083661077
866	0.06081654811
867	0.06080668026
868	0.06070396411
869	0.06065880994
870	0.06056197468
871	0.06041665547
872	0.06032004073
873	0.06027090139
874	0.06006031336
875	0.0599654705
876	0.05993917731
877	0.05984455006
878	0.05979090248
879	0.05971331266
880	0.05967890822
881	0.05966112491
882	0.05960110899
883	0.05946890471
884	0.05930697981
885	0.05927826522
886	0.05924790573
887	0.05924110538
888	0.05906918586
889	0.05899638624
890	0.05891371049
891	0.05884926009
892	0.05874692005
893	0.05868141355
894	0.05863681536
895	0.05853974128
896	0.05847679237
897	0.05844677128
898	0.05843470208
899	0.05837834968
900	0.05826266373
901	0.0580703873
902	0.05802360568
903	0.05797066387
904	0.05783057061
905	0.05779829909
906	0.05767006615
907	0.05765394696
908	0.05764094973
909	0.05756041616
910	0.05755013737
911	0.0575037917
912	0.05748244646
913	0.05744993347
