iter	Passed	Remaining
0	381	381377
1	564	281754
2	758	252118
3	945	235438
4	1128	224655
5	1319	218591
6	1521	215796
7	1710	212096
8	1894	208609
9	2084	206362
10	2267	203842
11	2451	201845
12	2635	200109
13	2817	198408
14	3008	197572
15	3201	196891
16	3409	197153
17	3594	196079
18	3773	194826
19	3949	193527
20	4124	192287
21	4305	191395
22	4482	190390
23	4659	189496
24	4834	188564
25	5026	188293
26	5200	187424
27	5376	186624
28	5550	185838
29	5737	185496
30	5927	185270
31	6106	184731
32	6281	184061
33	6461	183577
34	6637	182999
35	6811	182408
36	6993	182007
37	7166	181428
38	7343	180951
39	7529	180696
40	7707	180283
41	7885	179873
42	8060	179391
43	8240	179038
44	8419	178680
45	8594	178249
46	8770	177845
47	8946	177440
48	9124	177097
49	9301	176732
50	9477	176347
51	9655	176024
52	9831	175663
53	10007	175322
54	10197	175218
55	10382	175024
56	10556	174646
57	10729	174269
58	10905	173940
59	11079	173577
60	11257	173293
61	11432	172960
62	11615	172750
63	11798	172548
64	11973	172231
65	12148	171915
66	12326	171647
67	12498	171307
68	12676	171041
69	12857	170824
70	13036	170581
71	13215	170332
72	13392	170062
73	13574	169860
74	13748	169564
75	13925	169303
76	14099	169015
77	14276	168760
78	14455	168529
79	14643	168404
80	14832	168279
81	15004	167978
82	15180	167716
83	15355	167445
84	15528	167155
85	15709	166962
86	15888	166740
87	16066	166507
88	16242	166256
89	16418	166004
90	16593	165748
91	16765	165464
92	16939	165207
93	17114	164954
94	17288	164697
95	17462	164439
96	17644	164253
97	17819	164016
98	18000	163820
99	18201	163811
100	18388	163673
101	18597	163729
102	18819	163897
103	19064	164246
104	19317	164659
105	19552	164907
106	19782	165098
107	20005	165230
108	20266	165661
109	20500	165870
110	20733	166054
111	20963	166209
112	21187	166312
113	21424	166510
114	21686	166895
115	21934	167154
116	22144	167124
117	22385	167324
118	22614	167420
119	22856	167613
120	23076	167641
121	23324	167858
122	23567	168035
123	23840	168420
124	24075	168529
125	24297	168537
126	24529	168613
127	24759	168671
128	25003	168820
129	25224	168810
130	25444	168787
131	25658	168723
132	25880	168712
133	26091	168620
134	26317	168629
135	26543	168627
136	26783	168715
137	27014	168739
138	27239	168725
139	27468	168733
140	27698	168743
141	27931	168770
142	28177	168866
143	28420	168944
144	28653	168956
145	28885	168957
146	29119	168974
147	29347	168946
148	29609	169112
149	29851	169156
150	30064	169037
151	30277	168918
152	30488	168785
153	30703	168667
154	30922	168575
155	31135	168453
156	31363	168403
157	31593	168367
158	31826	168340
159	32046	168243
160	32257	168102
161	32471	167971
162	32692	167876
163	32907	167749
164	33123	167627
165	33347	167543
166	33559	167393
167	33767	167231
168	33974	167059
169	34179	166876
170	34385	166699
171	34589	166511
172	34799	166351
173	35004	166171
174	35217	166024
175	35433	165893
176	35642	165729
177	35874	165666
178	36087	165517
179	36289	165317
180	36504	165177
181	36714	165012
182	36926	164855
183	37128	164656
184	37331	164459
185	37534	164264
186	37786	164278
187	37998	164121
188	38212	163968
189	38459	163958
190	38676	163816
191	38884	163638
192	39095	163473
193	39298	163272
194	39508	163100
195	39718	162925
196	39924	162739
197	40136	162571
198	40371	162501
199	40597	162389
200	40802	162196
201	41006	161995
202	41210	161797
203	41451	161742
204	41706	161738
205	41937	161641
206	42167	161541
207	42385	161392
208	42599	161226
209	42814	161065
210	43028	160897
211	43246	160745
212	43467	160605
213	43680	160434
214	43897	160277
215	44119	160137
216	44342	159999
217	44576	159904
218	44810	159804
219	45023	159627
220	45235	159450
221	45444	159259
222	45668	159122
223	45898	159005
224	46109	158820
225	46320	158639
226	46554	158530
227	46785	158413
228	47014	158288
229	47242	158160
230	47461	157999
231	47678	157832
232	47894	157661
233	48102	157465
234	48333	157340
235	48550	157172
236	48764	156993
237	48993	156862
238	49227	156746
239	49463	156635
240	49677	156454
241	49908	156325
242	50142	156203
243	50367	156055
244	50592	155907
245	50813	155744
246	51034	155582
247	51250	155405
248	51473	155247
249	51685	155056
250	51907	154894
251	52130	154735
252	52346	154556
253	52565	154384
254	52780	154202
255	53012	154066
256	53240	153922
257	53494	153847
258	53731	153726
259	53961	153583
260	54183	153416
261	54407	153254
262	54632	153095
263	54853	152925
264	55078	152764
265	55297	152589
266	55522	152427
267	55749	152271
268	55969	152094
269	56191	151924
270	56407	151737
271	56619	151540
272	56833	151348
273	57064	151201
274	57284	151022
275	57498	150830
276	57734	150692
277	57967	150549
278	58190	150378
279	58414	150209
280	58626	150009
281	58855	149851
282	59072	149665
283	59293	149486
284	59510	149297
285	59734	149127
286	59968	148981
287	60201	148831
288	60420	148646
289	60652	148493
290	60870	148306
291	61093	148130
292	61331	147990
293	61578	147871
294	61802	147697
295	62023	147515
296	62280	147418
297	62510	147255
298	62726	147060
299	62943	146867
300	63156	146666
301	63378	146483
302	63596	146293
303	63811	146094
304	64021	145885
305	64232	145678
306	64473	145538
307	64686	145335
308	64906	145147
309	65115	144934
310	65322	144717
311	65535	144514
312	65756	144328
313	65989	144167
314	66201	143961
315	66419	143769
316	66623	143546
317	66835	143339
318	67046	143131
319	67257	142922
320	67466	142709
321	67670	142486
322	67875	142266
323	68087	142059
324	68295	141843
325	68507	141638
326	68720	141433
327	68929	141220
328	69133	140998
329	69337	140776
330	69545	140561
331	69761	140364
332	69982	140175
333	70202	139983
334	70420	139790
335	70624	139566
336	70843	139374
337	71052	139161
338	71273	138973
339	71483	138761
340	71695	138554
341	71919	138371
342	72132	138165
343	72338	137948
344	72546	137732
345	72747	137505
346	72960	137299
347	73171	137090
348	73383	136884
349	73590	136668
350	73794	136446
351	74001	136230
352	74203	136004
353	74410	135788
354	74642	135618
355	74864	135428
356	75075	135220
357	75280	135000
358	75482	134775
359	75684	134550
360	75888	134328
361	76108	134136
362	76312	133915
363	76516	133692
364	76721	133474
365	76925	133253
366	77135	133043
367	77359	132856
368	77566	132641
369	77773	132424
370	78004	132249
371	78249	132099
372	78484	131929
373	78711	131747
374	78963	131605
375	79214	131463
376	79442	131280
377	79682	131118
378	79922	130954
379	80155	130779
380	80383	130596
381	80612	130415
382	80838	130228
383	81056	130027
384	81271	129822
385	81480	129608
386	81691	129398
387	81899	129182
388	82110	128970
389	82328	128769
390	82548	128573
391	82767	128373
392	82984	128172
393	83196	127961
394	83425	127777
395	83653	127592
396	83871	127391
397	84106	127215
398	84319	127007
399	84528	126793
400	84746	126590
401	84969	126397
402	85195	126207
403	85409	125999
404	85628	125800
405	85844	125595
406	86056	125384
407	86275	125183
408	86482	124966
409	86690	124749
410	86904	124542
411	87113	124327
412	87328	124120
413	87570	123951
414	87792	123755
415	88032	123583
416	88259	123393
417	88479	123194
418	88698	122991
419	88918	122792
420	89130	122581
421	89334	122358
422	89551	122153
423	89765	121945
424	89985	121745
425	90213	121555
426	90428	121347
427	90640	121136
428	90846	120917
429	91056	120703
430	91279	120505
431	91511	120321
432	91723	120109
433	91935	119897
434	92143	119680
435	92355	119469
436	92558	119246
437	92767	119029
438	92984	118824
439	93197	118615
440	93404	118397
441	93613	118181
442	93819	117963
443	94024	117741
444	94233	117526
445	94439	117307
446	94644	117087
447	94853	116873
448	95069	116666
449	95280	116454
450	95484	116233
451	95706	116033
452	95924	115829
453	96139	115621
454	96350	115408
455	96553	115186
456	96756	114964
457	96960	114743
458	97167	114526
459	97372	114306
460	97575	114085
461	97779	113864
462	97983	113643
463	98199	113437
464	98415	113230
465	98636	113029
466	98860	112832
467	99071	112619
468	99278	112403
469	99495	112196
470	99701	111979
471	99913	111767
472	100147	111581
473	100368	111378
474	100581	111169
475	100785	110948
476	100989	110728
477	101194	110510
478	101441	110336
479	101691	110165
480	101929	109981
481	102163	109794
482	102381	109588
483	102587	109370
484	102802	109161
485	103021	108956
486	103256	108769
487	103473	108562
488	103700	108365
489	103906	108147
490	104111	107927
491	104322	107715
492	104523	107491
493	104754	107299
494	104979	107100
495	105206	106903
496	105427	106699
497	105648	106496
498	105877	106302
499	106102	106102
500	106320	105895
501	106548	105699
502	106768	105495
503	106985	105287
504	107212	105089
505	107430	104882
506	107648	104676
507	107865	104468
508	108075	104253
509	108297	104050
510	108534	103861
511	108758	103660
512	108989	103465
513	109241	103290
514	109491	103113
515	109723	102918
516	109946	102715
517	110186	102528
518	110444	102358
519	110686	102172
520	110916	101974
521	111136	101768
522	111356	101562
523	111578	101357
524	111792	101145
525	112034	100958
526	112272	100768
527	112490	100559
528	112714	100356
529	112928	100144
530	113145	99934
531	113399	99757
532	113641	99569
533	113867	99367
534	114092	99164
535	114318	98962
536	114547	98762
537	114782	98567
538	115008	98364
539	115235	98163
540	115481	97978
541	115710	97777
542	115949	97585
543	116190	97394
544	116419	97193
545	116640	96986
546	116863	96780
547	117074	96564
548	117293	96355
549	117510	96145
550	117730	95936
551	117959	95735
552	118193	95537
553	118415	95330
554	118642	95127
555	118858	94915
556	119075	94704
557	119328	94521
558	119571	94331
559	119792	94122
560	120016	93916
561	120251	93719
562	120481	93517
563	120704	93310
564	120931	93106
565	121183	92921
566	121436	92737
567	121665	92534
568	121883	92322
569	122099	92109
570	122320	91901
571	122536	91688
572	122743	91468
573	122964	91259
574	123172	91040
575	123383	90823
576	123595	90607
577	123811	90395
578	124018	90176
579	124222	89954
580	124425	89732
581	124634	89514
582	124850	89301
583	125068	89089
584	125278	88872
585	125482	88651
586	125689	88432
587	125909	88222
588	126127	88010
589	126337	87794
590	126543	87574
591	126747	87353
592	126950	87131
593	127154	86909
594	127358	86689
595	127559	86466
596	127761	86244
597	127965	86023
598	128179	85809
599	128398	85598
600	128611	85384
601	128819	85166
602	129027	84948
603	129248	84738
604	129473	84532
605	129691	84321
606	129907	84108
607	130129	83899
608	130354	83692
609	130578	83484
610	130798	83274
611	131006	83056
612	131213	82837
613	131419	82618
614	131639	82408
615	131855	82195
616	132069	81981
617	132295	81774
618	132504	81557
619	132703	81334
620	132910	81115
621	133112	80894
622	133325	80680
623	133526	80458
624	133735	80241
625	133939	80021
626	134146	79803
627	134363	79591
628	134571	79373
629	134795	79165
630	135019	78957
631	135234	78744
632	135446	78529
633	135650	78309
634	135853	78089
635	136061	77871
636	136268	77653
637	136477	77436
638	136679	77216
639	136884	76997
640	137087	76777
641	137295	76560
642	137518	76351
643	137735	76139
644	137945	75923
645	138175	75718
646	138393	75506
647	138637	75309
648	138871	75106
649	139109	74904
650	139358	74710
651	139606	74514
652	139820	74299
653	140041	74089
654	140262	73878
655	140492	73672
656	140718	73464
657	140934	73251
658	141147	73037
659	141382	72833
660	141608	72625
661	141822	72410
662	142037	72197
663	142256	71984
664	142490	71781
665	142720	71574
666	142947	71366
667	143167	71155
668	143398	70949
669	143644	70750
670	143898	70555
671	144134	70351
672	144375	70149
673	144613	69946
674	144839	69737
675	145061	69526
676	145280	69313
677	145497	69100
678	145713	68886
679	145922	68669
680	146139	68456
681	146350	68239
682	146562	68023
683	146775	67808
684	146998	67597
685	147216	67384
686	147432	67170
687	147653	66959
688	147870	66745
689	148080	66528
690	148315	66323
691	148551	66118
692	148786	65912
693	149003	65698
694	149223	65486
695	149438	65272
696	149644	65053
697	149853	64836
698	150066	64620
699	150288	64409
700	150505	64195
701	150715	63979
702	150930	63764
703	151141	63548
704	151367	63338
705	151605	63133
706	151814	62916
707	152026	62700
708	152241	62485
709	152459	62272
710	152676	62058
711	152890	61843
712	153096	61625
713	153301	61406
714	153507	61188
715	153715	60970
716	153929	60755
717	154132	60536
718	154338	60318
719	154555	60104
720	154768	59889
721	154991	59677
722	155238	59476
723	155475	59269
724	155696	59057
725	155931	58850
726	156172	58645
727	156417	58441
728	156652	58234
729	156878	58023
730	157115	57816
731	157336	57604
732	157557	57391
733	157771	57175
734	157981	56959
735	158201	56746
736	158423	56533
737	158637	56318
738	158853	56103
739	159069	55889
740	159294	55677
741	159520	55466
742	159735	55251
743	159949	55036
744	160200	54833
745	160449	54630
746	160680	54420
747	160910	54210
748	161127	53996
749	161394	53798
750	161649	53596
751	161875	53384
752	162095	53170
753	162343	52966
754	162574	52755
755	162789	52540
756	163012	52327
757	163237	52115
758	163459	51902
759	163494	51629
760	163748	51426
761	163972	51214
762	164194	51001
763	164417	50788
764	164650	50578
765	164888	50370
766	165115	50158
767	165343	49947
768	165572	49736
769	165791	49522
770	166017	49310
771	166246	49098
772	166494	48892
773	166734	48684
774	166987	48480
775	167214	48268
776	167443	48056
777	167684	47848
778	167929	47641
779	168194	47439
780	168469	47240
781	168723	47035
782	168980	46831
783	169225	46623
784	169457	46411
785	169706	46205
786	169948	45996
787	170199	45789
788	170432	45578
789	170656	45364
790	170891	45153
791	171120	44940
792	171349	44728
793	171575	44514
794	171797	44300
795	172015	44084
796	172238	43869
797	172464	43656
798	172690	43442
799	172912	43228
800	173131	43012
801	173375	42803
802	173619	42594
803	173853	42382
804	174076	42167
805	174305	41954
806	174524	41738
807	174750	41524
808	174967	41308
809	175189	41093
810	175423	40881
811	175650	40667
812	175875	40453
813	176095	40237
814	176311	40021
815	176543	39808
816	176784	39598
817	177002	39381
818	177236	39169
819	177465	38955
820	177693	38742
821	177922	38528
822	178161	38316
823	178380	38100
824	178611	37887
825	178834	37672
826	179065	37458
827	179293	37244
828	179515	37029
829	179739	36814
830	179960	36598
831	180180	36382
832	180404	36167
833	180627	35952
834	180846	35736
835	181068	35520
836	181309	35308
837	181543	35095
838	181769	34880
839	182000	34666
840	182225	34451
841	182447	34235
842	182673	34021
843	182895	33805
844	183111	33588
845	183336	33373
846	183558	33157
847	183772	32940
848	183987	32723
849	184207	32507
850	184425	32290
851	184649	32075
852	184868	31858
853	185085	31642
854	185306	31426
855	185518	31208
856	185582	30966
857	185812	30752
858	186041	30537
859	186259	30321
860	186476	30104
861	186690	29887
862	186908	29671
863	187118	29453
864	187328	29236
865	187535	29018
866	187752	28801
867	187965	28584
868	188183	28368
869	188406	28152
870	188621	27935
871	188836	27719
872	189063	27504
873	189334	27295
874	189556	27079
875	189772	26862
876	189987	26645
877	190208	26429
878	190450	26216
879	190686	26002
880	190904	25786
881	191121	25569
882	191341	25353
883	191562	25137
884	191780	24920
885	191998	24704
886	192216	24487
887	192426	24269
888	192643	24053
889	192852	23835
890	193065	23618
891	193282	23401
892	193498	23185
893	193719	22969
894	193939	22752
895	194152	22535
896	194367	22318
897	194579	22101
898	194819	21887
899	195049	21672
900	195272	21456
901	195492	21239
902	195709	21023
903	195923	20806
904	196136	20588
905	196349	20371
906	196564	20154
907	196783	19938
908	197000	19721
909	197214	19504
910	197431	19288
911	197641	19070
912	197867	18854
913	198111	18640
914	198361	18427
915	198606	18212
916	198853	17998
917	199093	17783
918	199351	17570
919	199618	17358
920	199863	17143
921	200122	16930
922	200374	16715
923	200610	16500
924	200845	16284
925	201087	16069
926	201326	15854
927	201561	15638
928	201808	15423
929	202044	15207
930	202305	14993
931	202560	14779
932	202817	14564
933	203047	14348
934	203277	14131
935	203506	13914
936	203746	13699
937	204030	13486
938	204272	13270
939	204529	13055
940	204765	12838
941	204999	12622
942	205218	12404
943	205463	12188
944	205764	11975
945	206066	11762
946	206347	11548
947	206673	11336
948	206958	11122
949	207197	10905
950	207429	10687
951	207682	10471
952	207917	10254
953	208147	10036
954	208369	9818
955	208601	9600
956	208821	9382
957	209044	9164
958	209263	8946
959	209495	8728
960	209733	8511
961	210000	8295
962	210358	8082
963	210753	7870
964	211254	7662
965	211559	7446
966	211857	7229
967	212112	7011
968	212355	6793
969	212599	6575
970	212856	6357
971	213115	6139
972	213362	5920
973	213605	5701
974	213849	5483
975	214103	5264
976	214388	5047
977	214650	4828
978	214929	4610
979	214970	4387
980	215218	4168
981	215457	3949
982	215689	3730
983	215953	3511
984	216208	3292
985	216462	3073
986	216727	2854
987	216979	2635
988	217227	2416
989	217469	2196
990	217698	1977
991	217937	1757
992	218192	1538
993	218448	1318
994	218707	1099
995	218976	879
996	219217	659
997	219462	439
998	219706	219
999	219947	0
